n_offset_hours,model,best_epoch,best_val_macro_auroc,train_examples,val_examples,test_examples,train_patients,val_patients,test_patients,split,macro_auroc,macro_auprc,micro_auroc,micro_auprc,pneumonia_auroc,pneumonia_auprc,pneumonia_prevalence,consolidation_auroc,consolidation_auprc,consolidation_prevalence,lung_opacity_auroc,lung_opacity_auprc,lung_opacity_prevalence,pneumothorax_auroc,pneumothorax_auprc,pneumothorax_prevalence,pleural_effusion_auroc,pleural_effusion_auprc,pleural_effusion_prevalence,pulmonary_edema_auroc,pulmonary_edema_auprc,pulmonary_edema_prevalence
6,sequence_attention,9,0.5912910969246493,11662,2537,2481,7137,1541,1516,val,0.5912910969246493,0.2360261123691629,0.6424922596148293,0.2614837577114223,0.549540574903986,0.11757486973184177,0.09094772630684234,0.5552434374670556,0.10125036399156959,0.0800160836349015,0.5687603734847829,0.34422549176480055,0.2868030485359005,0.5876879978231832,0.06704799625893454,0.05409705648369133,0.6400642467610634,0.4362351781723458,0.3200488003253355,0.646449951107825,0.34982277429548514,0.22491496598639457
6,sequence_attention,9,0.5912910969246493,11662,2537,2481,7137,1541,1516,test,0.5856167938907549,0.23917059025606136,0.6477117298218806,0.2711254157189552,0.573052101667329,0.11431298315246104,0.0912311780336581,0.5749762975196501,0.09313574115578027,0.0708725931995084,0.5642908629312104,0.35110462885845983,0.3016393442622951,0.5112375695038495,0.058045799695781775,0.05190592051905921,0.6361497707996274,0.47199856484188907,0.3465222823823407,0.6539941609228633,0.3464258238319961,0.23049801674746584
6,latest_mlp,10,0.5823409047759915,11662,2537,2481,7137,1541,1516,val,0.5823409047759915,0.2309470770517804,0.6151033944733907,0.24938710566401726,0.54293647568739,0.10340527821930104,0.09094772630684234,0.5471445953543943,0.09678245028464372,0.0800160836349015,0.5601209813808239,0.34237566525922336,0.2868030485359005,0.5655874313560579,0.06341977284815584,0.05409705648369133,0.6322078117495425,0.43885710015311175,0.3200488003253355,0.6460481331277407,0.34084219554624673,0.22491496598639457
6,latest_mlp,10,0.5823409047759915,11662,2537,2481,7137,1541,1516,test,0.5826922093259558,0.23816456364657865,0.6177849866133085,0.2615886982302984,0.559655273566873,0.10672194920543274,0.0912311780336581,0.5844369004291934,0.0936472523928813,0.0708725931995084,0.5532303308073075,0.3454986783997763,0.3016393442622951,0.5147010666167664,0.06338520933667845,0.05190592051905921,0.6382337935725841,0.48457006719972184,0.3465222823823407,0.6458958909630097,0.33516422534498114,0.23049801674746584
8,single_mlp,5,0.582272340231194,13106,2843,2800,6710,1456,1453,val,0.582272340231194,0.23942129313562002,0.5996378161887044,0.25995587679182813,0.5544012011456132,0.10769229211891604,0.09190620272314674,0.5649213795499957,0.10012391500512435,0.08084800574919151,0.5515365494167982,0.33061503423607985,0.2924562030747229,0.5628546221062308,0.06918922462133933,0.05056980056980057,0.6209963442232926,0.45536814342738896,0.34370477568740954,0.6389239449452331,0.37353914940487165,0.2521904761904762
8,single_mlp,5,0.582272340231194,13106,2843,2800,6710,1456,1453,test,0.5745821901895164,0.23496256094432633,0.5962732623496683,0.2591206369307164,0.5444901981487347,0.10576772918454423,0.09624413145539906,0.5976969704253905,0.09487753794015744,0.07145461173897193,0.5483106222110654,0.3405616555649237,0.30483812295380136,0.5095002111158026,0.054067098828764926,0.04886812791951132,0.6229635322980194,0.47218052439856095,0.35690485005553496,0.6245316069380863,0.34232081974900663,0.24396887159533073
8,sequence_attention,7,0.5883479316845273,11084,2405,2390,6710,1456,1453,val,0.5883479316845273,0.23815620112945102,0.6002801590506917,0.23715290719747478,0.5574858569367453,0.11648119815319406,0.09310653536257833,0.557036780547861,0.0967955236408611,0.08142493638676845,0.569666704366512,0.3394146769821086,0.2898857384680491,0.5675350427350427,0.0727198111132187,0.0546218487394958,0.6316517724893848,0.44932499247304564,0.33304831124412143,0.6467114330316175,0.3542010044142781,0.23315363881401618
8,sequence_attention,7,0.5883479316845273,11084,2405,2390,6710,1456,1453,test,0.5757461528050986,0.2397937737348312,0.5933605082144995,0.24407086658819344,0.5421718854097268,0.10895576509064839,0.09569597069597069,0.6018801503065463,0.09562847645483172,0.07472245943637916,0.5453073713490959,0.3415553241575032,0.306740614334471,0.4954729115102282,0.05589290898668365,0.05300799326882625,0.6315532534113777,0.4863411238241032,0.3627280625543006,0.6380913448436172,0.35038904389521713,0.2378132118451025
8,latest_mlp,7,0.5867078138780274,11084,2405,2390,6710,1456,1453,val,0.5867078138780274,0.24251367368817123,0.6122885331046277,0.2626564156689709,0.5535383761105628,0.1120458239654746,0.09310653536257833,0.5521698984302862,0.09822783898822024,0.08142493638676845,0.5666647816743952,0.34791882257304774,0.2898857384680491,0.5613931623931624,0.06885327892688758,0.0546218487394958,0.6360973963990652,0.4577465801730509,0.33304831124412143,0.6503832682606924,0.3702896975023461,0.23315363881401618
8,latest_mlp,7,0.5867078138780274,11084,2405,2390,6710,1456,1453,test,0.5713837232066272,0.2383145859648235,0.6022149406534587,0.2652818056020715,0.5514069408273272,0.11209873877739007,0.09569597069597069,0.5942013316632606,0.09452982552333483,0.07472245943637916,0.5331327698726864,0.33424340376282297,0.306740614334471,0.4930648107014166,0.056250834675704145,0.05300799326882625,0.6267424251701097,0.4825004916790819,0.3627280625543006,0.6297540610049627,0.3502642213706071,0.2378132118451025
